sample_id,uname,date,time,test,result,unit,confidence_score,galaxy_version,model_version,local_hsi_link,s3_hsi_link,s3_model_path,response_time,customer_name
1_emptyname_2023-09-25_19-31-47,imagoai_dev,2023-10-04,12:04:14,zearalenone,10.63,PPB,NA,4.4.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\1_emptyname_2023-09-25_19-31-47\1_emptyname_2023-09-25_19-31-47.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ZEA/Zearalenone_v1.1/galaxy_model.gz,11,Robert
10_emptyname_2023-09-25_20-16-39,imagoai_dev,2023-10-05,10:27:56,aflatoxin,0,PPB,NA,4.3.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\10_emptyname_2023-09-25_20-16-39\10_emptyname_2023-09-25_20-16-39_heatmap.jpeg,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/AFLA/Aflatoxin_v1.1/galaxy_model.gz,21,Robert
10_emptyname_2023-09-25_20-16-39,imagoai_dev,2023-10-05,12:30:48,fumonisin,2.92,PPM,NA,4.3.0,v1.1,C:\Users\LENOVO\Documents\ImagoAI\HSI DATA\10_emptyname_2023-09-25_20-16-39\10_emptyname_2023-09-25_20-16-39.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FUM/Fumonisin_v1.1/galaxy_model.gz,20,Ava
102,imagoai_dev,2024-02-28,10:36:28,aflatoxin,5.01,PPB,NA,4.6.0,v2.62,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\102\102.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.10/galaxy_deploy.gz,50,NULL
"1030,_#1",imagoai_icp,2023-10-30,11:45:36,aflatoxin,0.92,PPB,NA,4.3.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\1030,_#1\1030,_#1.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,11,NULL
"1030,_#1",imagoai_icp,2023-10-30,11:45:36,fumonisin,0.56,PPM,NA,4.3.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\1030,_#1\1030,_#1.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,11,NULL
"1030,_#1",imagoai_icp,2023-10-30,11:45:36,vomitoxin,0.65,PPM,NA,4.3.0,v1.3,"E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\1030,_#1\1030,_#1.png",NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/DON/galaxy_model.gz,11,NULL
110,imagoai_dev,2024-02-28,11:58:46,aflatoxin,21.18,PPB,NA,4.6.0,Pipeline-11,D:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\110\110.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/FGIS/v1.11/galaxy_deploy.gz,32,NULL
111323#140a,imagoai_icp,2023-11-28,02:57:34,aflatoxin,0.71,PPB,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\111323#140a\111323#140a.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,5,NULL
111323#140a,imagoai_icp,2023-11-28,02:57:34,fumonisin,0.56,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\111323#140a\111323#140a.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,5,NULL
111323#140a,imagoai_icp,2023-11-28,02:57:34,vomitoxin,0.41,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\111323#140a\111323#140a.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/DON/galaxy_model.gz,5,NULL
112023_bin5,imagoai_icp,2023-11-28,02:21:39,aflatoxin,1.38,PPB,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\112023_bin5\112023_bin5.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/AFLA/galaxy_model.gz,12,NULL
112023_bin5,imagoai_icp,2023-11-28,02:21:39,fumonisin,0.5,PPM,NA,4.3.0,v1.3,E:\ImagoAI-Workspace\HSI\Ground_Corn_grain_Mycotoxin\112023_bin5\112023_bin5.png,NA,modelregistry_4.0/corn_mycotoxin_ground/deploy/Quant/ICP/FUM/galaxy_model.gz,12,NULL
